ID,Source,Section,Title,Description,Priority,Type,Status,Owner,Files,Date_Created,Date_Done,Notes
UV-016,prompt-inicial,§5.4,Handler webhooks/elevenlabs-post-call,"Valida firma, idempotente por conversation_id, clasifica, transiciona FOLLOWUP, siempre 200 salvo firma invalida",High,feat,DONE,claude-code,src/handlers/webhooks/elevenlabs-post-call/handler.ts;test/integration/elevenlabs-post-call-webhook.spec.ts,2026-08-13,2026-08-13,8 tests de integracion.
UV-017,prompt-inicial,§5.5,Handler webhooks/twilio-status (stub),"Valida firma, registra evento; reconciliacion real queda pendiente (TODO explicito en el codigo)",Low,feat,IN_PROGRESS,claude-code,src/handlers/webhooks/twilio-status/handler.ts,2026-08-13,,"No implementa reconciliacion real todavia — siguiente ticket logico segun prompt §5.5, ver UV-030."
UV-018,prompt-inicial,§10,Entorno local (dynalite/docker-compose/seed/server/demo),docker-compose.local.yml + fallback dynalite (sin Docker en este sandbox) + Fastify local server + seed + demo end-to-end,High,feat,DONE,claude-code,docker-compose.local.yml;scripts/local-dynamo-*.ts;scripts/create-local-tables.ts;scripts/seed-local.ts;src/local/server.ts;scripts/local-demo.ts,2026-08-13,2026-08-13,npm run local:demo verificado con exito y de forma repetible (ver DECISIONS.md ADR-007).
UV-019,prompt-inicial,§7,Diagramas BPMN,4 diagramas .mmd copiados tal cual del prompt (fuente de verdad ya aprobada) + README explicando pools/lanes,Medium,docs,DONE,claude-code,docs/bpmn/*.mmd;docs/bpmn/README.md,2026-08-13,2026-08-13,
UV-020,prompt-inicial,§12,Documentacion (CLAUDE.md/PROJECT_CONTEXT/ARCHITECTURE/DECISIONS),Documentacion completa segun prompt §12,Medium,docs,DONE,claude-code,CLAUDE.md;docs/context/PROJECT_CONTEXT.md;docs/architecture/ARCHITECTURE.md;docs/architecture/DECISIONS.md,2026-08-13,2026-08-13,
UV-021,prompt-inicial,§13,CI (lint + tsc + tests),"GitHub Actions: ESLint, Prettier check, tsc --noEmit, Vitest, validacion de Conventional Commits",Medium,chore,DONE,claude-code,.github/workflows/ci.yml,2026-08-13,2026-08-13,No se ejecuto en GitHub Actions real en esta sesion (no se hizo push) — verificado localmente reproduciendo los mismos comandos.
UV-022,prompt-inicial,§3.1 / §4,Esqueleto CDK v2 (infra/),"bin/app.ts + lib/stacks/umine-voice-stack.ts + cdk.json, patron tabla->Lambda factory->rutas->IAM",Low,feat,IN_PROGRESS,claude-code,infra/bin/app.ts;infra/lib/stacks/umine-voice-stack.ts;infra/cdk.json,2026-08-13,,Construido pero NO desplegado ni sintetizado contra una cuenta AWS real (regla no negociable del prompt). Sin verificar con `cdk synth`.
UV-023,prompt-negocio,§9,Decision: a quien llamar (alumno/encargado/ambos),"No resuelto — propuesta de la hoja de ruta es encargado de capacitacion, sin confirmar",High,question,OPEN,PMO,,2026-08-13,,"Bloquea activar TABLERO_API_MODE=http de forma significativa (hoy el MVP usa el primer registro con telefono del grupo, una eleccion de implementacion, no de negocio)."
UV-024,prompt-negocio,§9,Decision: fuente del telefono real,tablero-api no expone telefono en ningun punto de la cadena de datos,High,question,OPEN,PMO,,2026-08-13,,Bloquea salir del modo fixture.
UV-025,prompt-negocio,§9,Decision: disclosure de IA al destinatario,"Asumido: si, siempre, primer mensaje — falta confirmacion de legal",Medium,question,OPEN,Legal,,2026-08-13,,"Construido asumiendo que si, ver DECISIONS.md ADR-006."
UV-026,prompt-negocio,§9,Decision: grabacion de audio,Asumido: no en el piloto (call_recording_enabled=false por defecto),Medium,question,OPEN,PMO,,2026-08-13,,
UV-027,prompt-negocio,§9,Bloqueante regulatorio numero chileno,Twilio exige +56 600/+56 809 con KYC local para comunicaciones automatizadas desde agosto 2025,High,question,OPEN,PMO,,2026-08-13,,"Bloqueante externo, no tecnico. El numero es 100% configurable por entorno en el codigo (TWILIO_PHONE_NUMBER)."
UV-028,prompt-negocio,§9,Confirmar cuota/ventana/intentos default,"Valores sugeridos del prompt usados como default local (DAILY_QUOTA=5, 09:00-19:00, MAX_ATTEMPTS=3, COOLDOWN_HOURS=24)",Medium,question,OPEN,PMO,,2026-08-13,,"Ya son variables de entorno, no constantes fijas."
UV-029,prompt-inicial,§5.4,Repositorio dedicado para ESCALATION,Hoy el escalamiento solo transiciona el FOLLOWUP a ESCALADO y deja evidencia en logs estructurados; falta un repositorio DynamoDB dedicado para Escalation (domain/escalation.ts ya modelado),Medium,feat,TODO,,src/domain/escalation.ts,2026-08-13,,Siguiente ticket logico de mayor impacto — ver resumen final de la sesion.
UV-030,prompt-inicial,§5.5,Reconciliacion real en webhooks/twilio-status,Implementar GET /v1/convai/conversations/{id} cuando el webhook de ElevenLabs no llega dentro de 30 min,Low,feat,TODO,,src/handlers/webhooks/twilio-status/handler.ts,2026-08-13,,Stub con TODO explicito en el codigo.
UV-031,prompt-inicial,§10,Validar dynamodb-local real (Docker) equivalente a dynalite,Esta sesion solo verifico contra dynalite (sin Docker disponible en el sandbox); falta correr la misma suite contra dynamodb-local real,Medium,chore,TODO,,docker-compose.local.yml,2026-08-13,,Riesgo residual documentado en DECISIONS.md ADR-007.
UV-032,sesion-2026-09-03,Fase 0,Inventario del esqueleto antes de construir,"Levantar el proyecto, correr build/lint/tests, correr el flujo local completo e inventariar que esta implementado vs stub vs roto",High,chore,DONE,claude-code,docs/status/INVENTARIO-2026-09-03.md,2026-09-03,2026-09-03,"92/92 tests verdes, build y lint limpios, pero local:demo estaba ROTO (ver UV-033). format:check fallaba por PROGRESS.md. Se anoto tambien la events.Rule de cron en infra/ (ver UV-042)."
UV-033,sesion-2026-09-03,Fase 0,Arreglar la deriva de fechas del fixture,"Las fechas absolutas del fixture envejecen: 3 semanas despues de FIXTURE_REFERENCE_NOW cuatro grupos se reclasificaban solos, el evaluador agotaba DAILY_QUOTA antes del grupo del demo y local:demo abortaba",High,fix,DONE,claude-code,test/fixtures/tablero_search_sample.json;src/services/tablero-api-client.fixture.ts,2026-09-03,2026-09-03,"Los registros llevan _fixture_offset_*_days y el cliente reescribe las fechas relativas a hoy, con hoy en el centro de la banda de semana objetivo. La suite no lo detectaba porque pinea el reloj con vi.setSystemTime; solo el demo (reloj real) lo veia. Ver DECISIONS.md ADR-009."
UV-034,sesion-2026-09-03,Fase 1,Cuota diaria persistente y atomica,QuotaRepository (QUOTA#<fecha> COUNTER) con ADD condicional; el dispatcher la consume despues de la escritura condicional READY->DIALING y pasa el contador real a runGuardrails,High,feat,DONE,claude-code,src/repositories/quota-repository.ts;src/handlers/call-dispatcher/handler.ts;src/utils/scheduling.ts,2026-09-03,2026-09-03,"Antes guardrails.isDailyQuotaExceeded recibia el contador por parametro y nadie lo calculaba: el evaluador contaba en memoria y la cuota se reiniciaba con el proceso. La fecha es dia de negocio (TIMEZONE), no dia UTC. Cuenta llamadas ORIGINADAS, no minutos (ver UV-044)."
UV-035,sesion-2026-09-03,Fase 1,Disparo manual de UNA llamada,"originateManualCall: unico camino de originacion. Revalida el Semaforo, corre guardrails, respeta do_not_call, exige idempotency key y delega en dispatchFollowup sin saltarse ningun paso",High,feat,DONE,claude-code,src/services/manual-call.ts;test/integration/manual-call-cycle.spec.ts,2026-09-03,2026-09-03,7 tests de integracion cubren el ciclo completo hasta RESUELTO. Devuelve un status tipado para que el adaptador HTTP mapee codigos sin decidir negocio. Ver DECISIONS.md ADR-010.
UV-036,sesion-2026-09-03,Fase 1,Unificar la lectura del Semaforo (course-lookup),"Un solo modulo compone search -> groupOrders -> getCourseWeek -> clasificarConexion; lo usan el dispatcher (revalidacion), el disparo manual y GET /api/tablero",Medium,refactor,DONE,claude-code,src/services/course-lookup.ts,2026-09-03,2026-09-03,"No agrega reglas: solo compone los modulos existentes, para que los tres caminos lean el Semaforo igual."
UV-037,sesion-2026-09-03,Fase 1,Persistir la transcripcion de la llamada,FollowupCall gana transcript / transcriptSummary / outcome; el webhook post-call los guarda,Medium,feat,DONE,claude-code,src/domain/followup.ts;src/handlers/webhooks/elevenlabs-post-call/handler.ts,2026-09-03,2026-09-03,"Antes se descartaban: recordCall guardaba transcriptS3Key null y nada mas, asi que el operador no tenia como leer la conversacion. Se persiste pero NO se loguea (logger.ts la sigue omitiendo). transcriptS3Key queda para cuando el volumen justifique S3."
UV-038,sesion-2026-09-03,Fase 2,Fixture de 15 cursos generado desde el CSV,scripts/generate-fixture.ts + npm run fixture:generate: 9 cursos de la seccion A de semaforo_test_samples.csv + 7 sinteticos. Campos nuevos contacto_nombre y contacto_cargo; los CRITICO resuelven su telefono contra ALLOWLIST_NUMBERS,High,feat,DONE,claude-code,scripts/generate-fixture.ts;test/fixtures/tablero_search_sample.json;test/fixtures/semaforo_test_samples.csv;test/fixtures/README.md,2026-09-03,2026-09-03,"8 CRITICO / 4 ALERTA / 3 NORMAL, las 4 semanas de curso y los 3 casos de guardrail. +1 OC internacional que groupOrders excluye por diseno (16 grupos en el archivo, 15 visibles). El generador falla si los visibles dejan de ser 15. Los nombres de contacto van prefijados TEST porque hay cursos con nombre de cliente real."
UV-039,sesion-2026-09-03,Fase 3,API de operacion /api/*,"GET /api/health, GET /api/tablero, GET /api/calls, GET /api/calls/:id y POST /api/calls en el adaptador Fastify, como plugin testeable con fastify.inject()",High,feat,DONE,claude-code,src/local/api-routes.ts;src/local/server.ts;src/repositories/followup-repository.ts,2026-09-03,2026-09-03,"Adaptador puro: no decide negocio, solo mapea el status de originateManualCall a HTTP. listByEstados() lista followups con querys por estado sobre GSI1 (sin scan y sin GSI nuevo, porque infra/ no se toca en esta sesion). Los telefonos salen siempre enmascarados."
UV-040,sesion-2026-09-03,Fase 4,Micrositio de operacion (web/),"React + Vite sin libreria de UI, paquete independiente. Tres vistas: Tablero (filtro por urgencia), Dashboard (fila expandible, refresco con boton) y Disparador (modal de confirmacion obligatorio)",High,feat,DONE,claude-code,web/**,2026-09-03,2026-09-03,"base './' y cero rutas absolutas; sin router (las vistas se cambian con estado local) para no apropiarse de la URL del host. La base de la API se resuelve en runtime via window.__UMINE_VOICE_API_BASE__. Sin polling, a proposito. El desplegable de numeros se puebla solo con la allowlist: nunca hay input libre de telefono."
UV-041,sesion-2026-09-03,Fase 5,Tests de rechazos de la API y de la confirmacion del front,"403 fuera de allowlist, 429 cuota agotada, 503 kill switch, idempotency key repetida = una sola llamada, y el front no dispara sin confirmacion",High,test,DONE,claude-code,test/integration/api-routes.spec.ts;web/test/*.spec.tsx,2026-09-03,2026-09-03,18 tests de API (cada rechazo verifica ademas que el proveedor no se invoco y que la cuota no se movio) + 20 tests de front con vitest/jsdom. Total 117 backend + 20 front.
UV-042,sesion-2026-09-03,Fase 0,Deshabilitar el cron de EventBridge en infra/ antes de desplegar,"infra/lib/stacks/umine-voice-stack.ts declara una events.Rule cron(0 13,19 ? * MON-FRI *) para el candidate-evaluator: es incompatible con la restriccion de originacion solo manual",High,chore,TODO,,infra/lib/stacks/umine-voice-stack.ts,2026-09-03,,BLOQUEANTE de despliegue. No se toco en esta sesion porque infra/ estaba explicitamente fuera de alcance. Ver DECISIONS.md ADR-010.
UV-043,sesion-2026-09-03,Fase 4,Definir como se embebe el micrositio en el core de Umine,"Falta definir el path de montaje, la autenticacion/autorizacion del host y quien sirve los assets del build",Medium,question,OPEN,PMO,web/README.md,2026-09-03,,"El front ya esta preparado (assets relativos, sin router, base de API configurable en runtime), pero hoy la API no tiene ninguna autenticacion: cualquiera que alcance el puerto puede disparar una llamada. Antes de exponerlo mas alla de localhost hay que resolver esto."
UV-044,sesion-2026-09-03,Fase 1,Confirmar si la cuota debe medir minutos en vez de llamadas,DAILY_QUOTA cuenta llamadas originadas; con un plan Starter lo que se agota son MINUTOS,Medium,question,OPEN,PMO,src/repositories/quota-repository.ts,2026-09-03,,"Los minutos reales solo se conocen cuando llega el webhook post-call, y ahi ya se gastaron, asi que un tope en minutos solo puede ser reactivo (cortar el resto del dia al superarlo). Contar originaciones es la aproximacion conservadora que quedo implementada."
UV-045,sesion-2026-09-03,Fase 1,Unificar el conteo de cuota del evaluador con QuotaRepository,candidate-evaluator sigue contando createdToday en memoria; el dispatcher usa el contador persistente. Los dos numeros pueden discrepar,Medium,refactor,TODO,,src/handlers/candidate-evaluator/handler.ts,2026-09-03,,"Hoy no causa dano real porque el evaluador no origina llamadas (solo crea y encola FOLLOWUP) y el gate efectivo es el del dispatcher, pero es una segunda fuente de verdad de la misma regla."
UV-046,sesion-2026-09-03,Fase 4,Telefono a mano en el disparador + numero del curso como opcion,"El desplegable ofrece los numeros de ALLOWLIST_NUMBERS, el telefono del curso (marcado si no esta autorizado) y la opcion de escribirlo a mano, precargada con el del curso",High,feat,DONE,claude-code,web/src/components/Disparador.tsx;web/src/components/ConfirmModal.tsx;src/local/api-routes.ts,2026-09-03,2026-09-03,"Reemplaza la decision anterior de 'cero input libre de telefono': el guardrail de allowlist vive en el backend, asi que un numero escrito a mano fuera de ALLOWLIST_NUMBERS responde 403 igual. El front solo adelanta el motivo. GET /api/tablero expone telefono.valor SOLO en modo fixture (ahi es dato sintetico); en modo http llega null a proposito, porque exponer telefonos de terceros es una decision de privacidad aparte."
UV-047,sesion-2026-09-03,Fase 4,Bug: el precargado del telefono no dejaba borrar el campo,"El precargado vivia en un efecto que reaccionaba a 'el campo esta vacio', asi que se rellenaba solo en cuanto el operador borraba y el texto nuevo se concatenaba al viejo",High,fix,DONE,claude-code,web/src/components/Disparador.tsx,2026-09-03,2026-09-03,"Detectado al escribir los tests del input manual. Ahora el precargado pasa una sola vez, al elegir 'escribir a mano'. Cubierto por dos tests (borrar y reescribir, y numero con espacios que normaliza a uno autorizado)."
UV-048,sesion-2026-09-03,Fase 4,Decidir si el tablero puede exponer telefonos reales de terceros,Hoy telefono.valor solo se entrega en modo fixture. Cuando exista una fuente real de telefono (UV-024) hay que decidir explicitamente si el micrositio puede mostrarlo completo,Medium,question,OPEN,PMO,src/local/api-routes.ts,2026-09-03,,"Bloquea, en la practica, poder ofrecer 'el numero del cliente' como opcion cuando el Semaforo traiga datos reales. Ligado a UV-024 y UV-025."
UV-049,sesion-2026-09-03,Fase 6,Endurecer RealElevenLabsClient para llamadas reales,"Chequeo del campo success (200 con success:false), exigir conversation_id, timeout con AbortSignal, superficie de error con status+detalle, call_recording_enabled explicito y log previo al intento",High,fix,DONE,claude-code,src/services/elevenlabs-client.ts;test/unit/elevenlabs-real-client.spec.ts,2026-09-03,2026-09-03,"El cliente daba la llamada por exitosa mirando solo el HTTP status. Un 200 con success:false, o sin conversation_id, dejaba el FOLLOWUP en DIALING esperando un webhook que nunca iba a llegar, con un slot de cuota ya consumido. 11 tests unitarios interceptando fetch (nunca sale a la red)."
UV-050,sesion-2026-09-03,Fase 6,providers:check — validar credenciales sin gastar una llamada,"Script de preflight que hace solo GET: valida ELEVENLABS_API_KEY, lista agentes y numeros importados, confirma que los IDs del .env existen, valida credenciales de Twilio y avisa de config riesgosa",High,feat,DONE,claude-code,scripts/providers-check.ts,2026-09-03,2026-09-03,El primer intento real es el mas caro de depurar: la API responde 422/401 genericos DESPUES de consumir cuota. Detecta ademas cuenta Twilio en Trial (solo llama a numeros verificados) y ventana horaria 24h.
UV-051,sesion-2026-09-03,Fase 6,Cerrar el ciclo: recibir el webhook post-call,"Tunel publico + PUBLIC_BASE_URL + webhook HMAC registrado en ElevenLabs para que el resultado de la llamada (transcripcion, analysis, clasificacion, estado final) vuelva al FOLLOWUP",High,chore,IN_PROGRESS,claude-code,scripts/tunnel-up.ts;scripts/webhook-selftest.ts;scripts/providers-check.ts;README.md,2026-09-03,,"Ya NO esta diferido (la decision del 2026-09-03 se revierte a pedido del usuario el 2026-09-07). Lo del repo esta hecho y verificado: `npm run tunnel:up` levanta cloudflared y escribe PUBLIC_BASE_URL, `npm run webhook:selftest` prueba el circuito completo (alcance publico + firma valida 200 + firma invalida 401) sin gastar un minuto, y providers:check §5 verifica contra la API que el webhook exista, este activo, sea HMAC y este asignado como post_call_webhook_id. Verificado end-to-end el 2026-09-07 contra https://*.trycloudflare.com. FALTA (solo se puede hacer en el panel, es del usuario): crear el webhook en ElevenLabs Settings -> Webhooks apuntando a <PUBLIC_BASE_URL>/webhooks/elevenlabs/post-call, copiar el secreto que muestra UNA sola vez a ELEVENLABS_WEBHOOK_SECRET (hoy sigue el placeholder demo-local-secret) y activarlo como post-call en Agents Platform -> Settings. | 2026-09-09: DEJA DE SER BLOQUEANTE para tener registro de llamadas. Se agrego el camino pull por API (UV-057), que no necesita URL publica, tunel, webhook registrado ni secreto. El webhook sigue siendo el camino preferido para produccion (URL estable en API Gateway), pero en local el quick tunnel muere con la sesion y por eso nunca se cerro: la auditoria del 2026-09-09 lo encontro con ENOTFOUND y sin webhook registrado en la cuenta."
UV-052,sesion-2026-09-03,Fase 6,Grabacion de llamada explicita en cada request,"CALL_RECORDING_ENABLED (default false) se manda como call_recording_enabled en el POST a ElevenLabs, en vez de heredar la configuracion del agente",Medium,feat,DONE,claude-code,src/utils/env.ts;src/services/elevenlabs-client.ts,2026-09-03,2026-09-03,"Cierra el lado tecnico de UV-026: la decision queda en el codigo y versionada, no en un panel que alguien puede cambiar sin dejar rastro. La decision de negocio sigue abierta."
UV-053,sesion-2026-09-07,§5.4,"Calibrar la clasificacion de ""no contestada"" con payloads reales","El data.status del webhook real solo toma initiated/in-progress/processing/done/failed: nunca no-answer ni busy, que es lo que NOT_ANSWERED_STATUS_MAP espera",High,question,OPEN,claude-code,src/services/call-outcome-classifier.ts,2026-09-07,,"Consecuencia hoy: una llamada que nadie contesta no cae en no_answer, cae por la heuristica de data_collection y termina como contacted/unknown -> CERRADO, marcando el CONTACT como contactado y sin reprogramar reintento. La pista mas probable es metadata.termination_reason (y una duracion muy corta con transcript sin turnos de user), pero no se convierte en regla por especulacion: hay que ver payloads reales primero. Con el webhook ya recibiendo, `npm run webhook:selftest -- --conversation-id=<id>` permite reproducir una conversacion real cuantas veces sea necesario para calibrar sin volver a llamar."
UV-054,sesion-2026-09-07,Fase 6,tunnel:up + webhook:selftest,"Script que levanta el quick tunnel de cloudflared y escribe PUBLIC_BASE_URL, y verificador del circuito del webhook que no gasta minutos de llamada",High,feat,DONE,claude-code,scripts/tunnel-up.ts;scripts/webhook-selftest.ts,2026-09-07,2026-09-07,"selftest hace dos requests: firma valida (espera 200 ignored/unknown_conversation_id, con conversation_id inventado para no tocar ningun FOLLOWUP real) y firma invalida (espera 401 — sin este chequeo, un endpoint que devuelve 200 a todo pasaria por bueno). Con --conversation-id=<id> lee la conversacion desde la API de ElevenLabs y la reproduce como webhook: sirve para recuperar el resultado de llamadas hechas mientras el webhook no estaba configurado. Ninguno de los dos origina llamadas."
UV-055,sesion-2026-09-07,§5.4,El webhook real trae call_sid y el inicio en otro lugar,"El handler leia metadata.call_sid (forma del fixture/mock); el webhook real de una llamada telefonica lo trae en metadata.phone_call.call_sid, y el inicio en metadata.start_time_unix_secs",Medium,fix,DONE,claude-code,src/domain/call.ts;src/handlers/webhooks/elevenlabs-post-call/handler.ts;test/integration/elevenlabs-post-call-webhook.spec.ts,2026-09-07,2026-09-07,Sin esto toda llamada REAL quedaba registrada con callSid null (imposible cruzarla con el log de Twilio) y startedAt null (que estaba hardcodeado). Se aceptan ambas formas para no romper fixtures ni el mock. 1 test de integracion nuevo con la forma real del payload.
UV-056,sesion-2026-09-07,§10,La base local corria en memoria y perdia los enlaces CONVERSATION#,"dynalite se levantaba sin `path` (y docker-compose.local.yml con -inMemory): cada reinicio borraba la tabla entera, incluidos los items CONVERSATION#<id> META",High,fix,DONE,claude-code,scripts/dynalite-server.ts;docker-compose.local.yml,2026-09-07,2026-09-07,"Se descubrio al intentar recuperar el resultado de las 4 llamadas reales que ya existian en la cuenta de ElevenLabs (conv_0201m1m5..., conv_6701m1kq..., conv_1201m1kp..., conv_8701m1jg..., de 60-84s): sus enlaces CONVERSATION# ya no estaban en la base local, asi que sus transcripciones solo se pueden leer en el panel de ElevenLabs, no atribuir a un FOLLOWUP. Sin esto, cualquier reinicio de dynalite entre la llamada y la llegada del webhook hace irrecuperable el resultado. Ahora persiste en .dynamo-local-data/ (LevelDB; `level` ya era dependencia de dynalite 4) y el docker-compose monta un volumen en el mismo directorio, para que los dos caminos locales se comporten igual. Verificado: la tabla y el CONTACT do_not_call sobreviven un local:down/local:up completo. El harness de tests no se afecta (levanta sus propias instancias en memoria en puerto 0)."
UV-057,sesion-2026-09-09,§5.4,Registro de llamadas por API (camino pull),services/conversation-sync + elevenlabs-conversations-client + POST /api/calls/sync + npm run calls:sync + boton Sincronizar en el Dashboard,High,feat,DONE,claude-code,src/services/conversation-sync.ts;src/services/elevenlabs-conversations-client.ts;src/services/call-result-recorder.ts;scripts/calls-sync.ts;src/local/api-routes.ts;web/src/components/Dashboard.tsx;test/integration/conversation-sync.spec.ts,2026-09-09,2026-09-09,"El push dependia de tres cosas encadenadas que en local se rompen solas (URL publica viva, webhook registrado apuntando a ESA url, secreto emitido en el panel). El pull solo necesita ELEVENLABS_API_KEY, recupera hacia atras y es idempotente por conversation_id. Se extrajo call-result-recorder para que webhook y sync compartan EXACTAMENTE la misma logica de clasificacion, persistencia y transicion de estado: si se agrega una regla va ahi, no en un handler. Atribucion en dos pasos: item CONVERSATION# local, y si no esta, el followup_id que viaja dentro de la conversacion. Lo que no se puede atribuir NO se toca ni se inventa (decision del usuario 2026-09-09); para esos casos hay atribucion manual explicita (--conversation-id + --followup-id). Verificado con datos reales: conv_0201m1m5 (72s, 13 turnos) recuperada completa sin originar ninguna llamada. NO viola la regla 0: solo hace GET y lo dispara una persona."
UV-058,sesion-2026-09-09,§5.4,"La atribucion viaja en dynamic_variables, no en user_id",El dispatcher manda followup_id dentro de conversation_initiation_client_data para que el resultado sea recuperable sin la base local,High,feat,DONE,claude-code,src/services/elevenlabs-client.ts;src/handlers/call-dispatcher/handler.ts;test/unit/elevenlabs-real-client.spec.ts,2026-09-09,2026-09-09,"Primer intento: user_id, que la doc describe como ""ID of the end user"". NO SIRVE: ElevenLabs lo rellena por su cuenta — en las llamadas Twilio de esta cuenta quedo con el numero de telefono y en las pruebas del panel con un id de workspace. Se detecto leyendo las 24 conversaciones reales, no la doc. El canal confiable es dynamic_variables.followup_id, que la API devuelve verbatim. Se inyecta en el CLIENTE y no en buildAgentDynamicVariables: esa funcion define el contrato conversacional del agente (siete variables comparadas por igualdad estricta contra sence-agent-config en un test) y ademas alimenta el modal de confirmacion. Se sigue mandando user_id como best effort. extractAttributionId exige forma de UUID justamente para no confundir el telefono con una atribucion."
